time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/clip_fraction,train/std,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/approx_kl,train/clip_range
29,1.0856811,6400,25,217,151.76190476190476,0.06640625,1.020673155784607,0.5218916833400726,240,-0.017254651896655558,0.0003,1.2083413038402795,-14.407722973823548,0.3128993809223175,0.013357971,0.2
30,1.0856811,6656,26,218,151.76190476190476,0.0,1.0200750827789307,0.17087876796722412,250,-0.0023603257024660705,0.0003,303.0722255706787,-14.38690767288208,235.70352172851562,0.0013962546,0.2
31,1.8988789,6912,27,218,153.46666666666667,0.080859375,1.0179370641708374,0.9735287241637707,260,-0.015476583875715733,0.0003,0.26851079644402487,-14.378721451759338,-0.04458245635032654,0.01461404,0.2
32,1.8988789,7168,28,218,153.46666666666667,0.00234375,1.0172356367111206,0.08491098880767822,270,-0.008684735873248427,0.0003,392.1601135253906,-14.359607219696045,233.10032653808594,0.0023990762,0.2
33,1.8988789,7424,29,218,153.46666666666667,0.078125,1.0182578563690186,0.9741551131010056,280,-0.018294907710514962,0.0003,0.4263233903096989,-14.361552095413208,-0.011470220983028412,0.015303197,0.2
35,2.123154,7680,30,218,166.82608695652175,0.166015625,1.0199671983718872,0.6787858605384827,290,-0.020689783059060572,0.0003,0.3512140307575464,-14.375349116325378,-0.007121630012989044,0.019144947,0.2
36,2.123154,7936,31,218,166.82608695652175,0.150390625,1.0207031965255737,0.5834866762161255,300,-0.016678543272428216,0.0003,1.3987991146743297,-14.388657379150391,1.0177031755447388,0.01586349,0.2
37,1.9132826,8192,32,218,174.19148936170214,0.095703125,1.0220056772232056,0.9615604653954506,310,-0.014297797996550798,0.0003,0.2272488398826681,-14.396212649345397,-0.03896867111325264,0.0127041275,0.2
38,3.957516,8448,33,218,171.8125,0.2390625,1.021918773651123,0.2385784387588501,320,-0.022711908374913038,0.0003,1.6744731545448304,-14.404908800125122,1.2217583656311035,0.022002745,0.2
39,3.5394697,8704,34,218,176.85714285714286,0.0,1.0217682123184204,-0.04514014720916748,330,-0.0014478104072622954,0.0003,326.46257438659666,-14.40104284286499,217.79833984375,0.0005378772,0.2
40,3.5394697,8960,35,218,176.85714285714286,0.132421875,1.0223767757415771,0.6044044494628906,340,-0.01518823455553502,0.0003,3.138824024796486,-14.403454566001892,0.8529648780822754,0.022829467,0.2
42,3.5394697,9216,36,218,176.85714285714286,0.1015625,1.0238587856292725,0.9476886801421642,350,-0.01667125856038183,0.0003,0.5001862328033895,-14.412278962135314,-0.013922197744250298,0.011908856,0.2
43,3.1358001,9472,37,218,185.26,0.269140625,1.020025610923767,0.7298559546470642,360,-0.03151624428573996,0.0003,0.030161185160977766,-14.407871532440186,-0.054887689650058746,0.018709864,0.2
44,2.872223,9728,38,218,190.7058823529412,0.059765625,1.0198781490325928,0.7633393406867981,370,-0.01986574842594564,0.0003,1.1861920282244682,-14.377005219459534,0.49712860584259033,0.015914576,0.2
45,1.8550879,9984,39,218,188.90384615384616,0.193359375,1.0196857452392578,0.6865631639957428,380,-0.02473816806450486,0.0003,0.8891359075903893,-14.38386025428772,0.3447389006614685,0.017880391,0.2
46,1.3949307,10240,40,218,189.24074074074073,0.0,1.019408941268921,-0.08200311660766602,390,-0.0005113969440571964,0.0003,90.38074727058411,-14.37841203212738,66.01647186279297,0.00033983472,0.2
47,0.25814682,10496,41,218,186.08928571428572,0.09765625,1.0210838317871094,0.05553543567657471,400,-0.023906727810390292,0.0003,4.5152299284935,-14.383033490180969,1.9625790119171143,0.016027885,0.2
49,0.25814682,10752,42,218,186.08928571428572,0.01015625,1.0220344066619873,0.025452911853790283,410,-0.006614927924238146,0.0003,79.36115536689758,-14.400276112556458,26.724721908569336,0.0054476163,0.2
50,-0.26028654,11008,43,218,188.60344827586206,0.158984375,1.0205256938934326,0.8057793527841568,420,-0.022743639908730982,0.0003,0.0366592965554446,-14.397732472419738,-0.024709001183509827,0.014288794,0.2
51,-2.2205307,11264,44,218,181.6290322580645,0.18984375,1.0227575302124023,0.18546420335769653,430,-0.02843277482315898,0.0003,2.360203358530998,-14.39844353199005,1.0816543102264404,0.021223966,0.2
52,-2.3491738,11520,45,218,179.5079365079365,0.008203125,1.0234692096710205,0.009140253067016602,440,-0.006825097859837115,0.0003,141.10041313171388,-14.416640996932983,63.552764892578125,0.0040355255,0.2
53,-2.3491738,11776,46,218,179.5079365079365,0.147265625,1.025368094444275,-0.08196091651916504,450,-0.017628389270976187,0.0003,1.0150178860872985,-14.42777361869812,0.9885861277580261,0.019114848,0.2
55,-2.4930286,12032,47,218,186.59375,0.119140625,1.0253410339355469,0.7794845998287201,460,-0.016827185987494886,0.0003,0.1143358666682616,-14.437804794311523,-0.015682384371757507,0.012998728,0.2
56,-2.4930286,12288,48,218,186.59375,0.11640625,1.025261640548706,0.43449193239212036,470,-0.016250262723769993,0.0003,0.8157805945724249,-14.43674931526184,0.2973957359790802,0.0108930925,0.2
57,-2.7363203,12544,49,218,187.83333333333334,0.085546875,1.0271934270858765,0.924498625099659,480,-0.010382485465379431,0.0003,0.12817925232229754,-14.440068936347961,-0.009817437268793583,0.011722607,0.2
58,-2.8708093,12800,50,218,189.22388059701493,0.164453125,1.0274021625518799,0.3049930930137634,490,-0.03154005007818341,0.0003,1.7812576755881309,-14.458878183364869,1.109663486480713,0.025422653,0.2
59,-2.8708093,13056,51,218,189.22388059701493,0.1890625,1.0320634841918945,0.461908757686615,500,-0.028848584578372537,0.0003,0.619794600456953,-14.472633123397827,0.23735535144805908,0.025690507,0.2
60,-2.9320316,13312,52,218,194.89705882352942,0.128125,1.0323092937469482,0.9355160221457481,510,-0.016937824967317282,0.0003,0.06712990119121968,-14.50902853012085,-0.02157266065478325,0.012874344,0.2
62,-4.289719,13568,53,218,192.15714285714284,0.144140625,1.0327681303024292,0.5735452473163605,520,-0.01835940536111593,0.0003,0.927321045845747,-14.503756380081176,-0.00016999989748001099,0.020720828,0.2
63,-4.289719,13824,54,218,192.15714285714284,0.0015625,1.0330432653427124,0.02524024248123169,530,-0.002140504471026361,0.0003,137.57561759948732,-14.510448431968689,58.08720397949219,0.0021099404,0.2
64,-4.448167,14080,55,218,193.55555555555554,0.091015625,1.0325881242752075,0.9044466689229012,540,-0.016985355550423263,0.0003,0.19936076854355633,-14.509394335746766,-0.028389066457748413,0.011038883,0.2
