time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/explained_variance,train/clip_fraction,train/value_loss,train/loss,train/clip_range,train/std,train/n_updates,train/approx_kl,train/entropy_loss,train/learning_rate,train/policy_gradient_loss
11776,52,128.54945054945054,223,46,-12.116677,0.7979454547166824,0.18203125,0.528487642109394,0.18342941999435425,0.2,1.017135500907898,450,0.013926966,-14.36093864440918,0.0003,-0.028118739975616334
12032,53,124.6875,223,47,-12.025081,-0.2951434850692749,0.0953125,2.023125633597374,0.970757007598877,0.2,1.0169373750686646,460,0.016315384,-14.3520033121109,0.0003,-0.01623010993935168
12288,55,123.37373737373737,223,48,-11.98149,0.11958169937133789,0.100390625,2.3290792033076286,1.147477388381958,0.2,1.015093445777893,470,0.012386372,-14.345284271240235,0.0003,-0.017305721307639032
12544,56,123.6,223,49,-11.998157,0.5928689539432526,0.205859375,0.5635107733309269,0.14000418782234192,0.2,1.0165709257125854,480,0.018333465,-14.336909914016724,0.0003,-0.02891736545134336
12800,57,125.34,223,50,-12.03519,0.051920175552368164,0.200390625,1.4023675113916396,0.5421338081359863,0.2,1.0184869766235352,490,0.015345544,-14.360051321983338,0.0003,-0.03436665635090321
13056,58,127.41,223,51,-12.074259,0.887863464653492,0.0796875,0.16028106743469833,0.01152268797159195,0.2,1.0208603143692017,500,0.0110357525,-14.378340363502502,0.0003,-0.014171923091635109
13312,59,129.83,223,52,-12.498248,0.8292588442564011,0.08203125,0.21418477967381477,0.06621848791837692,0.2,1.0232802629470825,510,0.0076851933,-14.40270676612854,0.0003,-0.01574324774555862
13568,60,124.09,222,53,-12.358774,0.13518297672271729,0.000390625,57.66332790851593,26.009599685668945,0.2,1.0238168239593506,520,0.0021792117,-14.419072890281678,0.0003,-0.0027735490119084718
13824,62,122.7,222,54,-12.318659,0.5875500440597534,0.096875,0.6187458954751491,0.38172560930252075,0.2,1.0234442949295044,530,0.010497056,-14.41949005126953,0.0003,-0.01769276198465377
14080,63,118.88,222,55,-12.159055,0.2479686737060547,0.178125,0.8762358278036118,0.40107834339141846,0.2,1.024517297744751,540,0.021586804,-14.419733881950378,0.0003,-0.024249711842276155
14336,64,114.23,222,56,-11.994768,-0.07708621025085449,0.07109375,1.6360623463988304,0.5080937147140503,0.2,1.0222272872924805,550,0.008861233,-14.419001388549805,0.0003,-0.019857115240301936
14592,65,108.73,222,57,-11.852294,0.5372028052806854,0.153125,0.6477160558104516,0.27632948756217957,0.2,1.022094488143921,560,0.01372119,-14.403920316696167,0.0003,-0.02170452445279807
14848,66,108.37,222,58,-11.835221,0.056820809841156006,0.084765625,1.5812041893601418,0.6601082682609558,0.2,1.0224673748016357,570,0.009444758,-14.405905961990356,0.0003,-0.016524576768279075
15104,67,108.74,222,59,-11.832278,0.4823371171951294,0.130859375,0.5207686759531498,0.1337050497531891,0.2,1.022436261177063,580,0.014845535,-14.40873064994812,0.0003,-0.02361827506683767
15360,69,104.18,222,60,-11.763095,0.44962257146835327,0.17109375,0.8965443998575211,0.45317649841308594,0.2,1.0219285488128662,590,0.013847458,-14.407634329795837,0.0003,-0.022257085191085935
15616,70,102.27,221,61,-11.689145,0.29985666275024414,0.101171875,1.6148506671190261,0.8119117617607117,0.2,1.022644281387329,600,0.009010131,-14.40494155883789,0.0003,-0.014585180953145028
15872,71,100.78,221,62,-11.668466,0.46557945013046265,0.087109375,0.6334154151380063,0.19571727514266968,0.2,1.0229170322418213,610,0.013125049,-14.411950826644897,0.0003,-0.018099198234267533
16128,72,98.69,221,63,-10.533111,0.5161066055297852,0.15234375,0.6530236013233661,0.17737609148025513,0.2,1.0212568044662476,620,0.015993992,-14.406496238708495,0.0003,-0.023586005065590145
16384,73,95.53,221,64,-9.638573,0.05329340696334839,0.0,360.631067276001,123.9347152709961,0.2,1.0208455324172974,630,0.0008004389,-14.39279305934906,0.0003,0.003573045984376222
16640,75,95.98,221,65,-9.611632,0.29199522733688354,0.02578125,3.915900635719299,1.1559275388717651,0.2,1.0206429958343506,640,0.009641373,-14.391130375862122,0.0003,-0.01035172597039491
16896,76,94.59,221,66,-9.546577,-0.5211689472198486,0.1015625,1.825496493279934,0.7761817574501038,0.2,1.0211520195007324,650,0.01747248,-14.392411994934083,0.0003,-0.02756892384495586
17152,77,94.89,221,67,-10.647849,0.5953046381473541,0.1484375,1.0802111968398094,0.31571441888809204,0.2,1.021970510482788,660,0.017889122,-14.398891520500182,0.0003,-0.02974061816930771
17408,78,90.72,221,68,-10.39193,-0.8892849683761597,0.0296875,2.033788165450096,0.8533861041069031,0.2,1.0230289697647095,670,0.0074780085,-14.408458495140076,0.0003,-0.012954003014601766
17664,79,89.87,221,69,-10.309068,0.3720211386680603,0.0875,1.1237018786370754,0.5737553834915161,0.2,1.0234992504119873,680,0.013292377,-14.416843104362489,0.0003,-0.028837281209416688
17920,80,87.53,221,70,-10.222895,0.12482881546020508,0.09453125,2.032418942451477,0.5340297222137451,0.2,1.025380253791809,690,0.014498971,-14.425036144256591,0.0003,-0.017850755469407887
18176,81,86.06,221,71,-10.192306,-0.14660394191741943,0.12890625,2.002103736996651,0.6998241543769836,0.2,1.0239193439483643,700,0.013570543,-14.432286095619201,0.0003,-0.02832639536354691
18432,83,79.76,221,72,-10.05541,0.2462766170501709,0.10546875,1.0862669326364993,0.5093286037445068,0.2,1.0233815908432007,710,0.012131816,-14.417925572395324,0.0003,-0.025139383296482264
18688,84,77.73,221,73,-10.024642,0.19339555501937866,0.116015625,1.455703540146351,0.5151691436767578,0.2,1.0223288536071777,720,0.015671827,-14.412146949768067,0.0003,-0.022579286259133368
18944,85,79.5,221,74,-10.034835,0.07713651657104492,0.11796875,1.35224047601223,0.6521464586257935,0.2,1.0208699703216553,730,0.014375574,-14.397486901283264,0.0003,-0.024938427889719606
19200,86,75.3,221,75,-9.905832,0.5675364434719086,0.06328125,0.5423606418073177,0.1583431363105774,0.2,1.0212743282318115,740,0.008799904,-14.391119527816773,0.0003,-0.01723949918523431
19456,87,76.12,221,76,-9.922334,0.037944018840789795,0.05546875,1.4112526282668114,0.5500476956367493,0.2,1.0199593305587769,750,0.007850186,-14.38837890625,0.0003,-0.013619416812434792
19712,88,77.57,221,77,-9.928644,0.8954140245914459,0.124609375,0.16281409803777933,0.004143543541431427,0.2,1.0224480628967285,760,0.014171146,-14.38808627128601,0.0003,-0.01846744657959789
19968,89,77.27,221,78,-9.929186,-0.5769860744476318,0.1484375,2.0239870607852937,0.5369109511375427,0.2,1.0214011669158936,770,0.017871562,-14.402785515785217,0.0003,-0.03273639145772904
20224,91,79.07,221,79,-9.96204,0.20017433166503906,0.079296875,1.0862353309988975,0.5594022274017334,0.2,1.0220553874969482,780,0.01078159,-14.393231844902038,0.0003,-0.026874531875364482
20480,92,79.89,221,80,-9.9698,0.93812645226717,0.141015625,0.27449475452303884,0.013070736080408096,0.2,1.0201600790023804,790,0.013113424,-14.394029831886291,0.0003,-0.02014861200004816
20736,93,82.28,221,81,-10.014859,0.9196129888296127,0.144140625,0.16141708232462407,-0.03507160395383835,0.2,1.018239140510559,800,0.017504068,-14.36983344554901,0.0003,-0.02345604293514043
20992,94,84.1,221,82,-10.051275,0.957830011844635,0.172265625,0.09516028785146773,-0.0038674287497997284,0.2,1.0208367109298706,810,0.030578723,-14.37101936340332,0.0003,-0.023394496366381645
21248,95,86.1,221,83,-10.472272,-1.802325963973999,0.0125,2.6774470895528792,0.8643738031387329,0.2,1.0216584205627441,820,0.0056840037,-14.392938160896302,0.0003,-0.008120809821411968
21504,96,86.32,221,84,-10.461825,-0.004923820495605469,0.00703125,68.17286620140075,16.863981246948242,0.2,1.02176833152771,830,0.004750401,-14.39490578174591,0.0003,-0.005544444650877267
21760,98,85.82,221,85,-10.450946,-0.11758172512054443,0.10546875,0.8159265115857124,0.4435269236564636,0.2,1.022831916809082,840,0.019718572,-14.399061703681946,0.0003,-0.016299213375896217
22016,99,86.59,221,86,-10.486875,0.09137135744094849,0.205859375,0.6544392716139555,0.1368546187877655,0.2,1.024118423461914,850,0.03098908,-14.412222981452942,0.0003,-0.03942722824867815
22272,100,89.07,221,87,-10.540659,0.05502927303314209,0.0171875,61.82306227684021,33.18600082397461,0.2,1.0241830348968506,860,0.0078056864,-14.417354202270507,0.0003,-0.010478623036760837
22528,101,90.89,221,88,-10.597644,0.7840543240308762,0.153125,0.3022710604593158,0.03321519121527672,0.2,1.0238227844238281,870,0.024427662,-14.415245580673218,0.0003,-0.025062505179084836
22784,102,91.52,221,89,-10.607579,0.6075251996517181,0.15859375,0.3694799726828933,0.18129180371761322,0.2,1.0268808603286743,880,0.04072205,-14.424723267555237,0.0003,-0.016387303860392423
23040,103,93.13,221,90,-10.64109,-0.16158664226531982,0.094140625,0.9817614944651722,0.16668462753295898,0.2,1.029139757156372,890,0.010334041,-14.45582344532013,0.0003,-0.022269372781738638
23296,105,96.76,221,91,-10.73815,0.6742461323738098,0.210546875,0.38016218189150097,0.09809117019176483,0.2,1.0314674377441406,900,0.026851434,-14.474968433380127,0.0003,-0.026287189079448582
23552,106,98.18,221,92,-10.780282,0.7447470128536224,0.150390625,0.6316501379013062,0.12693887948989868,0.2,1.0329670906066895,910,0.016611453,-14.495967626571655,0.0003,-0.020803796872496606
23808,107,98.59,221,93,-10.802155,0.9571388475596905,0.160546875,0.08739811731502414,-0.03201478719711304,0.2,1.0373808145523071,920,0.02278873,-14.52264404296875,0.0003,-0.02757953997934237
24064,108,100.75,221,94,-10.8515625,0.7961867302656174,0.177734375,0.2998424587771297,0.022886231541633606,0.2,1.0380254983901978,930,0.020827841,-14.551031446456909,0.0003,-0.027778077963739635
24320,109,103.38,221,95,-10.910958,0.9272760152816772,0.166015625,0.17925115739926695,-0.002318296581506729,0.2,1.0376160144805908,940,0.020434964,-14.550890254974366,0.0003,-0.02134984654840082
24576,110,104.53,221,96,-10.93914,0.8775203824043274,0.111328125,0.4446117579936981,0.18323419988155365,0.2,1.0397158861160278,950,0.014294751,-14.553973364830018,0.0003,-0.013395220856182277
24832,112,105.6,221,97,-10.969477,0.9780318848788738,0.1828125,0.08094160165637732,-0.006384555250406265,0.2,1.0399377346038818,960,0.017451718,-14.572335815429687,0.0003,-0.028887616202700882
25088,113,107.44,221,98,-11.0285635,0.6228587031364441,0.16484375,0.9750496067106724,0.16367262601852417,0.2,1.0389461517333984,970,0.01321169,-14.562123131752013,0.0003,-0.026782910921610892
25344,114,108.56,221,99,-11.053493,0.9874566541984677,0.18125,0.09979553315788507,-0.01886190101504326,0.2,1.039953351020813,980,0.021314701,-14.56256878376007,0.0003,-0.026416721078567205
25600,115,110.9,221,100,-11.137173,0.8955079168081284,0.078515625,0.25749771762639284,0.09571412950754166,0.2,1.0411343574523926,990,0.009429846,-14.576394057273864,0.0003,-0.013650168594904245
