time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/n_updates,train/approx_kl,train/value_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/std,train/loss
100352,226,-14.910458,49,442,291.17,-0.008791198166727554,-14.519932880997658,0.8313643485307693,480,0.012857394,0.17751321665709838,0.147705078125,0.0003,0.2,1.0392316579818726,0.0033716652542352676
102400,226,-15.582219,50,451,300.97,-0.005139919229986844,-14.525439944863319,0.05056053400039673,490,0.007737078,44.665477404929696,0.0662109375,0.0003,0.2,1.038623332977295,1.8973649740219116
2048,244,-24.446676,1,8,465.0,-0.007371109167434042,-14.524981436133384,0.17716258764266968,500,0.009553147,7.12001635460183,0.062353515625,0.0003,0.2,1.0398448705673218,0.9934528470039368
4096,235,-22.239752,2,17,338.5,-0.01030190867750207,-14.50148659646511,0.7892008721828461,510,0.014133063,0.27654718423145824,0.1396484375,0.0003,0.2,1.0358647108078003,0.013343516737222672
6144,232,-21.216984,3,26,342.1764705882353,-0.01031764960498549,-14.484231743216515,0.32208895683288574,520,0.011450055,5.509334472473711,0.138134765625,0.0003,0.2,1.0358985662460327,6.889307975769043
8192,231,-21.945864,4,35,367.3636363636364,-0.015082472196809249,-14.44874412715435,0.8816413655877113,530,0.01595097,0.14117564489133655,0.16513671875,0.0003,0.2,1.0305293798446655,0.012323185801506042
10240,230,-20.645105,5,44,348.5,-0.013378185323381331,-14.40573844909668,0.9340451955795288,540,0.012777812,0.13430255617713555,0.14130859375,0.0003,0.2,1.0269824266433716,0.07028934359550476
12288,229,-19.557718,6,53,292.4102564102564,-0.019044919421139637,-14.410697767138481,0.8881087005138397,550,0.0155201545,0.2534502211725339,0.17578125,0.0003,0.2,1.02847158908844,0.10670089721679688
14336,229,-21.463808,7,62,305.2173913043478,-0.012353560629708226,-14.415765419602394,0.5050345659255981,560,0.011639408,4.154339444637299,0.1267578125,0.0003,0.2,1.0301151275634766,2.8832836151123047
16384,229,-21.792961,8,71,308.2641509433962,-0.011556138708692742,-14.441598549485207,0.8981009125709534,570,0.012452576,0.17333474373444915,0.13134765625,0.0003,0.2,1.0326682329177856,-0.0068122148513793945
18432,229,-19.993113,9,80,278.7121212121212,-0.009053641112404875,-14.425272217392921,0.8657199293375015,580,0.0109833395,0.2993924184818752,0.1228515625,0.0003,0.2,1.0281898975372314,0.03303283452987671
