time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/std,train/clip_fraction,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/explained_variance,rollout/ep_len_mean,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/n_updates,train/loss,train/entropy_loss
15,3136,49,203,0.9489912986755371,0.0,-8.598259,1409.4969970703125,0.0010699732,0.042458534240722656,178.35294117647058,0.0003,0.2,0.0022939630318433045,2460,690.7881469726562,-13.61158561706543
15,3200,50,203,0.9488224983215332,0.0703125,-8.598259,0.2508164465427399,0.019874671,-1.2463264465332031,178.35294117647058,0.0003,0.2,-0.02866642288863659,2470,0.010980978608131409,-13.60518674850464
16,3264,51,203,0.9488258361816406,0.096875,-8.598259,0.14450620487332344,0.013484093,0.861822172999382,178.35294117647058,0.0003,0.2,-0.017368446569889784,2480,0.006040170788764954,-13.60580759048462
16,3328,52,203,0.9487051963806152,0.065625,-11.078161,1.3357397973537446,0.014448004,-4.556128025054932,182.88888888888889,0.0003,0.2,-0.02794865444302559,2490,0.2514413893222809,-13.605650424957275
16,3392,53,202,0.9486085176467896,0.0015625,-11.078161,231.53294982910157,0.003191756,0.20646435022354126,182.88888888888889,0.0003,0.2,-0.013533304445445538,2500,111.75535583496094,-13.604688930511475
17,3456,54,202,0.9485638737678528,0.0,-11.078161,1.4496726393699646,0.00022993702,0.3607040047645569,182.88888888888889,0.0003,0.2,-0.0026390010491013525,2510,0.28022685647010803,-13.604095268249512
17,3520,55,201,0.9487429857254028,0.0125,-11.078161,0.23551722392439842,0.006353285,-0.6162254810333252,182.88888888888889,0.0003,0.2,-0.013404589053243399,2520,0.00634901225566864,-13.604262924194336
17,3584,56,200,0.94927978515625,0.0640625,-11.078161,0.2805173762142658,0.013729598,-1.4685733318328857,182.88888888888889,0.0003,0.2,-0.0031995153054594993,2530,0.024860870093107224,-13.608248138427735
18,3648,57,200,0.949609100818634,0.171875,-11.396214,0.1525415014475584,0.030386698,0.6788746118545532,189.42105263157896,0.0003,0.2,-0.026805828884243967,2540,-0.030178377404808998,-13.614410495758056
18,3712,58,200,0.9497026205062866,0.04375,-11.345661,1.9380573749542236,0.0062246537,0.7822896838188171,183.7,0.0003,0.2,0.006318874657154083,2550,0.6726709604263306,-13.615653800964356
18,3776,59,200,0.9499212503433228,0.0,-11.345661,9.850315618515015,0.0006566681,-2.4966514110565186,183.7,0.0003,0.2,-0.004726273100823164,2560,3.3651137351989746,-13.617883586883545
19,3840,60,200,0.9500406384468079,0.0,-11.345661,3.423490118980408,0.00017185882,-2.311333656311035,183.7,0.0003,0.2,-0.002209868375211954,2570,1.2629367113113403,-13.619396018981934
19,3904,61,200,0.9500385522842407,0.0,-11.345661,2.7160864233970643,0.0007798346,-0.738471269607544,183.7,0.0003,0.2,-0.0035734323784708975,2580,0.8769617676734924,-13.620413780212402
19,3968,62,200,0.9500500559806824,0.0,-11.345661,0.46210051476955416,0.0032623904,0.8071489334106445,183.7,0.0003,0.2,-0.00910896360874176,2590,0.13860838115215302,-13.620014762878418
20,4032,63,200,0.9504235982894897,0.0171875,-11.345661,0.4427127972245216,0.005171897,-4.519958019256592,183.7,0.0003,0.2,-0.004248042637482285,2600,0.034432873129844666,-13.62133855819702
20,4096,64,200,0.9517455101013184,0.196875,-11.345661,0.029614917282015086,0.039007388,0.9387695267796516,183.7,0.0003,0.2,-0.02502654669806361,2610,-0.03883753716945648,-13.629347038269042
