time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/clip_fraction,train/entropy_loss,train/loss,train/clip_range,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/std,train/value_loss,train/explained_variance,rollout/ep_rew_mean
67840,218,310,265,7550,0.213671875,-14.130270528793336,0.47412097454071045,0.2,232.13,0.012719009,-0.015634084679186346,0.0003,1.0095769166946411,2.7379187628626824,-0.14207673072814941,12.879965
68096,218,311,266,7560,0.08359375,-14.137074851989746,0.0698167085647583,0.2,232.81,0.010515473,-0.009848428959958255,0.0003,1.0108542442321777,0.6043156534433365,0.7377726137638092,12.938984
68352,218,312,267,7570,0.17734375,-14.13772714138031,0.04714318364858627,0.2,232.81,0.01280255,-0.02055120994336903,0.0003,1.0093319416046143,0.3615052026696503,0.9508486241102219,12.938984
68608,218,313,268,7580,0.212890625,-14.109651684761047,0.0038995128124952316,0.2,234.09,0.014952327,-0.022799465409480035,0.0003,1.005446434020996,0.2849778551608324,0.9626260064542294,11.942789
68864,218,315,269,7590,0.221484375,-14.070529913902282,1.6050113439559937,0.2,234.78,0.011344745,-0.019769556634128094,0.0003,1.0019481182098389,3.1738436102867125,0.5722603797912598,11.961975
69120,218,316,270,7600,0.166015625,-14.049001216888428,0.1422083079814911,0.2,234.89,0.017858703,-0.025485753919929265,0.0003,1.0011365413665771,0.5258600257337094,0.8201972395181656,12.042584
69376,218,317,271,7610,0.141796875,-14.04724099636078,0.052057523280382156,0.2,236.04,0.012466675,-0.015840482793282717,0.0003,1.0020581483840942,0.30088209453970194,0.9579972848296165,12.136226
69632,218,318,272,7620,0.1421875,-14.052183389663696,0.015897121280431747,0.2,236.04,0.018895064,-0.01677241256693378,0.0003,1.0026270151138306,0.6447553327307105,0.7841727882623672,12.136226
69888,218,319,273,7630,0.209765625,-14.040583395957947,-0.027795227244496346,0.2,238.67,0.019405678,-0.026165939518250525,0.0003,0.9983248710632324,0.1260427582077682,0.9144017174839973,11.1641655
70144,218,320,274,7640,0.205859375,-14.004927325248719,0.06032737344503403,0.2,238.42,0.027363967,-0.021185282699298112,0.0003,0.9970394372940063,0.26915792003273964,0.9645999185740948,11.14455
70400,218,322,275,7650,0.190625,-14.009281349182128,0.03413742035627365,0.2,235.32,0.017976679,-0.02574059002799913,0.0003,0.9983047246932983,0.20443390901200473,0.9714642912149429,12.013392
70656,218,323,276,7660,0.017578125,-14.016690564155578,123.26786041259766,0.2,235.58,0.005166623,-0.001968487724661827,0.0003,0.9986578226089478,304.6331621170044,0.11511808633804321,11.991903
70912,218,324,277,7670,0.178515625,-14.019658756256103,-0.01077105849981308,0.2,234.53,0.014626784,-0.026033674483187497,0.0003,0.9992709159851074,0.3683485943824053,0.959497258067131,11.749157
71168,218,325,278,7680,0.20078125,-14.024616575241089,-0.019186504185199738,0.2,231.99,0.01978618,-0.021287071495316924,0.0003,1.0007812976837158,0.20024779313243926,0.9847011836245656,12.757971
71424,218,326,279,7690,0.008984375,-14.035517573356628,128.71246337890625,0.2,231.92,0.0034450798,-0.000943447113968432,0.0003,1.000885248184204,270.4027404785156,0.07205110788345337,12.78196
